,answer_start,answer,title,context,question
0,52,uma instituição de ensino superior pública federal brasileira,UFMS,"Universidade Federal de Mato Grosso do Sul (UFMS) é uma instituição de ensino superior pública federal brasileira, sediada em Campo Grande, no estado do Mato Grosso do Sul. Tomando-se o campus de Campo Grande como centro de um círculo hipotético, a UFMS abrange uma extensa área geográfico-educacional que resulta num raio de mais de 500 km, atingindo cerca de cem municípios e incluindo estados e países vizinhos, tais como Paraguai e Bolívia, de onde se origina parte de seus alunos-convênio. Além da sede em Campo Grande, a UFMS mantém campi em nove cidades (Aquidauana, Chapadão do Sul, Corumbá, Coxim, Naviraí, Nova Andradina, Paranaíba, Ponta Porã e Três Lagoas) descentralizando o ensino para atender à demanda de várias regiões do estado.",O que é a UFMS?
1,126,Campo Grande,UFMS,"Universidade Federal de Mato Grosso do Sul (UFMS) é uma instituição de ensino superior pública federal brasileira, sediada em Campo Grande, no estado do Mato Grosso do Sul. Tomando-se o campus de Campo Grande como centro de um círculo hipotético, a UFMS abrange uma extensa área geográfico-educacional que resulta num raio de mais de 500 km, atingindo cerca de cem municípios e incluindo estados e países vizinhos, tais como Paraguai e Bolívia, de onde se origina parte de seus alunos-convênio. Além da sede em Campo Grande, a UFMS mantém campi em nove cidades (Aquidauana, Chapadão do Sul, Corumbá, Coxim, Naviraí, Nova Andradina, Paranaíba, Ponta Porã e Três Lagoas) descentralizando o ensino para atender à demanda de várias regiões do estado.",Onde é sediada a UFMS?
2,326,mais de 500,UFMS,"Universidade Federal de Mato Grosso do Sul (UFMS) é uma instituição de ensino superior pública federal brasileira, sediada em Campo Grande, no estado do Mato Grosso do Sul. Tomando-se o campus de Campo Grande como centro de um círculo hipotético, a UFMS abrange uma extensa área geográfico-educacional que resulta num raio de mais de 500 km, atingindo cerca de cem municípios e incluindo estados e países vizinhos, tais como Paraguai e Bolívia, de onde se origina parte de seus alunos-convênio. Além da sede em Campo Grande, a UFMS mantém campi em nove cidades (Aquidauana, Chapadão do Sul, Corumbá, Coxim, Naviraí, Nova Andradina, Paranaíba, Ponta Porã e Três Lagoas) descentralizando o ensino para atender à demanda de várias regiões do estado.",A UFMS abrange uma área geográfico-educacional de quantos km?
3,361,cem,UFMS,"Universidade Federal de Mato Grosso do Sul (UFMS) é uma instituição de ensino superior pública federal brasileira, sediada em Campo Grande, no estado do Mato Grosso do Sul. Tomando-se o campus de Campo Grande como centro de um círculo hipotético, a UFMS abrange uma extensa área geográfico-educacional que resulta num raio de mais de 500 km, atingindo cerca de cem municípios e incluindo estados e países vizinhos, tais como Paraguai e Bolívia, de onde se origina parte de seus alunos-convênio. Além da sede em Campo Grande, a UFMS mantém campi em nove cidades (Aquidauana, Chapadão do Sul, Corumbá, Coxim, Naviraí, Nova Andradina, Paranaíba, Ponta Porã e Três Lagoas) descentralizando o ensino para atender à demanda de várias regiões do estado.",Aproximadamente quantos municípios a UFMS atinge?
4,548,nove,UFMS,"Universidade Federal de Mato Grosso do Sul (UFMS) é uma instituição de ensino superior pública federal brasileira, sediada em Campo Grande, no estado do Mato Grosso do Sul. Tomando-se o campus de Campo Grande como centro de um círculo hipotético, a UFMS abrange uma extensa área geográfico-educacional que resulta num raio de mais de 500 km, atingindo cerca de cem municípios e incluindo estados e países vizinhos, tais como Paraguai e Bolívia, de onde se origina parte de seus alunos-convênio. Além da sede em Campo Grande, a UFMS mantém campi em nove cidades (Aquidauana, Chapadão do Sul, Corumbá, Coxim, Naviraí, Nova Andradina, Paranaíba, Ponta Porã e Três Lagoas) descentralizando o ensino para atender à demanda de várias regiões do estado.",Em quantas cidades a UFMS mantém campi?
5,562,"Aquidauana, Chapadão do Sul, Corumbá, Coxim, Naviraí, Nova Andradina, Paranaíba, Ponta Porã e Três Lagoas",UFMS,"Universidade Federal de Mato Grosso do Sul (UFMS) é uma instituição de ensino superior pública federal brasileira, sediada em Campo Grande, no estado do Mato Grosso do Sul. Tomando-se o campus de Campo Grande como centro de um círculo hipotético, a UFMS abrange uma extensa área geográfico-educacional que resulta num raio de mais de 500 km, atingindo cerca de cem municípios e incluindo estados e países vizinhos, tais como Paraguai e Bolívia, de onde se origina parte de seus alunos-convênio. Além da sede em Campo Grande, a UFMS mantém campi em nove cidades (Aquidauana, Chapadão do Sul, Corumbá, Coxim, Naviraí, Nova Andradina, Paranaíba, Ponta Porã e Três Lagoas) descentralizando o ensino para atender à demanda de várias regiões do estado.",Em quais cidades a UFMS mantém campi?
6,8,ultrapassar os objetivos essenciais de aprimoramento do ensino e estímulo às atividades de pesquisa e de extensão,UFMS,"Visando ultrapassar os objetivos essenciais de aprimoramento do ensino e estímulo às atividades de pesquisa e de extensão, a UFMS vem participando do ensino e da preservação dos recursos naturais do meio ambiente, especialmente da fauna e flora do Pantanal, região onde está inserida, e que motiva estudos e pesquisas ecológicas na instituição.",O que a UFMS visa participando do ensino e da preservação dos recursos naturais do meio ambiente?
7,248,Pantanal,UFMS,"Visando ultrapassar os objetivos essenciais de aprimoramento do ensino e estímulo às atividades de pesquisa e de extensão, a UFMS vem participando do ensino e da preservação dos recursos naturais do meio ambiente, especialmente da fauna e flora do Pantanal, região onde está inserida, e que motiva estudos e pesquisas ecológicas na instituição.",O que motiva estudos e pesquisas ecológicas na UFMS?
8,94,Faculdade de Farmácia e Odontologia,UFMS,"A Universidade Federal de Mato Grosso do Sul (UFMS) teve sua origem em 1962, com a criação da Faculdade de Farmácia e Odontologia, em Campo Grande, que seria o embrião do ensino superior público no sul do então estado de Mato Grosso. Em 26 de julho de 1966, através da Lei nº 2.620, esses cursos foram absorvidos com a criação do Instituto de Ciências Biológicas de Campo Grande, que reformulou a estrutura anterior, instituiu departamentos e criou o curso de Medicina. Em 2014, foi criado um curso de Medicina também em Três Lagoas. Em Corumbá, o Governo de Estado criou, em 1967, o Instituto Superior de Pedagogia e, em Três Lagoas, o Instituto de Ciências Humanas e Letras, ampliando assim a rede de ensino superior. Com a divisão do estado de Mato Grosso, foi concretizada a federalização da instituição que passou a denominar-se Fundação Universidade Federal de Mato Grosso do Sul, pela Lei Federal nº 6.674, de 05.07.1979. O então Centro Pedagógico de Rondonópolis, sediado em Rondonópolis - MT, passou a integrar a Universidade Federal de Mato Grosso (UFMT). Em 2005 o campus de Dourados(CPDO) é desmembrado para dar origem á Universidade Federal da Grande Dourados com a sua instalação ocorrida em 01.01.2006, de acordo com a Lei nº 11.153, de 29.07.2005.",Qual era o embrião do ensino superior público no sul do Mato Grosso?
9,237,26 de julho de 1966,UFMS,"A Universidade Federal de Mato Grosso do Sul (UFMS) teve sua origem em 1962, com a criação da Faculdade de Farmácia e Odontologia, em Campo Grande, que seria o embrião do ensino superior público no sul do então estado de Mato Grosso. Em 26 de julho de 1966, através da Lei nº 2.620, esses cursos foram absorvidos com a criação do Instituto de Ciências Biológicas de Campo Grande, que reformulou a estrutura anterior, instituiu departamentos e criou o curso de Medicina. Em 2014, foi criado um curso de Medicina também em Três Lagoas. Em Corumbá, o Governo de Estado criou, em 1967, o Instituto Superior de Pedagogia e, em Três Lagoas, o Instituto de Ciências Humanas e Letras, ampliando assim a rede de ensino superior. Com a divisão do estado de Mato Grosso, foi concretizada a federalização da instituição que passou a denominar-se Fundação Universidade Federal de Mato Grosso do Sul, pela Lei Federal nº 6.674, de 05.07.1979. O então Centro Pedagógico de Rondonópolis, sediado em Rondonópolis - MT, passou a integrar a Universidade Federal de Mato Grosso (UFMT). Em 2005 o campus de Dourados(CPDO) é desmembrado para dar origem á Universidade Federal da Grande Dourados com a sua instalação ocorrida em 01.01.2006, de acordo com a Lei nº 11.153, de 29.07.2005.",Quando os cursos de Farmácia e Odontologia foram absorvidos?
